separation_um,integrated_value
1030.0,1438666.4181592208
1040.0,1376586.9617022
1050.0,1361692.3067161976
1060.0,1417522.1255883216
1070.0,1532607.0165477518
1080.0,1660976.6880305265
1090.0,1742741.594450526
1100.0,1734979.4841780667
1110.0,1636462.6160297412
1120.0,1491985.4705113538
1130.0,1372412.2107759926
1140.0,1339664.6041860343
1150.0,1414563.8355808447
1160.0,1564739.1184228924
1170.0,1719741.5320249796
1180.0,1806221.6105218832
1190.0,1785166.7361956504
1200.0,1671713.2526350655
1210.0,1526956.989126088
1220.0,1425886.1235961537
1230.0,1418244.5493373764
1240.0,1502970.6648463865
1250.0,1629702.3697583464
1260.0,1726448.6711503486
1270.0,1738577.7357194866
1280.0,1658241.7724637794
1290.0,1528501.6918272716
1300.0,1419983.137064067
1310.0,1392615.0758321837
1320.0,1462981.8104145764
1330.0,1594796.8279022635
1340.0,1717631.0391478129
1350.0,1763951.5381295474
1360.0,1704813.4798419487
1370.0,1565341.0758304666
1380.0,1411928.2708530538
1390.0,1318053.6790025495
1400.0,1326753.9711019932
1410.0,1429286.256233015
1420.0,1570705.3368943068
1430.0,1678827.557983934
1440.0,1700983.0429517473
1450.0,1629381.2349115624
1460.0,1502489.0863969263
1470.0,1382784.0671006232
1480.0,1323552.0908227037
1490.0,1342568.4082026538
1500.0,1416040.4412918594
1510.0,1494825.3633134298
1520.0,1532977.5596964504
1530.0,1512552.0050516943
1540.0,1451367.5133469321
1550.0,1390304.1584225735
1560.0,1368088.3936306643
1570.0,1398176.002888932
1580.0,1460781.0152045647
1590.0,1514375.4957829965
1600.0,1520026.4080445713
1610.0,1464781.0002416936
1620.0,1370824.2395628951
1630.0,1284952.087987593
1640.0,1253721.5579870339
1650.0,1297573.0378912697
1660.0,1398002.0970446542
1670.0,1505083.691251853
1680.0,1561943.7480029564
1690.0,1533802.3014916393
1700.0,1426678.968208882
1710.0,1286038.102152471
1720.0,1175814.748683911
1730.0,1148136.8953161947
1740.0,1218624.775330156
1750.0,1359199.5393035915
1760.0,1511529.4084302718
1770.0,1614141.2605293314
1780.0,1629886.1649112445
1790.0,1560855.4335298277
1800.0,1444500.3192529401
1810.0,1334033.677482986
1820.0,1273463.323672255
1830.0,1279378.6808544071
1840.0,1337369.0495461891
1850.0,1413199.7940639416
1860.0,1471705.3300748388
1870.0,1493301.0492976804
1880.0,1480284.518993658
1890.0,1451120.276595348
1900.0,1427301.9369267444
1910.0,1420812.7026386634
1920.0,1429074.0645307181
1930.0,1439486.7914847597
1940.0,1440025.5391782322
1950.0,1428978.3158565501
1960.0,1417610.4648536467
1970.0,1423806.396957861
1980.0,1460171.1291808083
1990.0,1523606.1553467582
2000.0,1592986.8286547638
2010.0,1637361.373592479
2020.0,1631257.2268539937
2030.0,1569361.3948756712
2040.0,1472471.2421956065
2050.0,1380600.0583494883
2060.0,1335575.392959795
2070.0,1361113.835843671
2080.0,1450204.2302263873
2090.0,1566541.153307134
2100.0,1660081.9405566615
2110.0,1689797.802266645
2120.0,1642879.4435174912
2130.0,1541059.232318877
2140.0,1430769.5207541683
2150.0,1361657.1495243951
2160.0,1363668.5970331656
2170.0,1433650.3006311986
2180.0,1537765.7754152264
2190.0,1628295.786155809
2200.0,1666406.0893198652
2210.0,1639717.5762540926
2220.0,1566341.8238901873
2230.0,1483974.418362779
2240.0,1430120.5575135765
2250.0,1423759.733367834
2260.0,1457635.3295742227
2270.0,1504554.504625919
2280.0,1533691.9294503075
2290.0,1527789.2840016698
2300.0,1491969.8806922701
2310.0,1449658.7261748044
2320.0,1428205.7027392872
2330.0,1442417.53185787
2340.0,1485296.7430778057
2350.0,1531282.7552487731
2360.0,1550364.0247062477
2370.0,1525346.2934618925
2380.0,1462652.845766901
2390.0,1390390.8260469842
2400.0,1344282.3553720643
2410.0,1348740.278879481
2420.0,1403224.0184223144
2430.0,1481421.6704058598
2440.0,1544076.248574955
2450.0,1558970.5115926722
2460.0,1517631.5394471423
2470.0,1439887.0965109474
2480.0,1363731.6409159396
2490.0,1325710.376920593
2500.0,1342078.5903159776
2510.0,1400626.5709704722
2520.0,1467442.0890279342
2530.0,1504984.8872902144
2540.0,1491872.4348436801
2550.0,1433908.52374529
2560.0,1360587.346324454
2570.0,1309061.5422259436
2580.0,1304228.3651479296
2590.0,1345606.8991173594
2600.0,1407986.2642319896
2610.0,1455412.8982656263
2620.0,1460931.2628540685
2630.0,1421423.4833745668
2640.0,1359538.66853899
2650.0,1311630.234891367
2660.0,1308115.216239755
2670.0,1356731.5653106421
2680.0,1437645.8726047338
2690.0,1513088.0287851884
2700.0,1546514.676669445
2710.0,1521300.0929325297
2720.0,1449241.1456068382
2730.0,1364538.8705486513
2740.0,1306499.370100265
2750.0,1299978.6901662315
2760.0,1343588.2867000417
2770.0,1411456.7997271814
2780.0,1467227.4816782097
2790.0,1482737.3105838993
2800.0,1451692.0443303273
2810.0,1391603.0400261055
2820.0,1333578.3110817424
2830.0,1305841.7212108418
2840.0,1319810.9277119893
2850.0,1365780.161085779
2860.0,1419858.3095252817
2870.0,1457797.9736487283
2880.0,1467923.4229885116
2890.0,1456239.7195828555
2900.0,1441348.100556266
2910.0,1442439.657542917
2920.0,1467324.071045061
2930.0,1507252.429955876
2940.0,1541424.795792655
2950.0,1548701.1259108908
2960.0,1520073.0968059283
2970.0,1465000.8470811013
2980.0,1407964.9138633558
2990.0,1376766.0090602976
3000.0,1388479.1814287908
3010.0,1440265.0574250943
3020.0,1509827.9235717552
3030.0,1565473.1388425166
3040.0,1580940.763593303
3050.0,1547865.6617437915
3060.0,1479928.2208659784
3070.0,1406817.1539272757
3080.0,1360964.3352328173
3090.0,1363281.8281864477
3100.0,1414355.0817415267
3110.0,1494779.1994925267
3120.0,1574031.2570188812
3130.0,1623529.379348562
3140.0,1628005.177164028
3150.0,1590518.7723649766
3160.0,1529592.1495011235
3170.0,1470437.0343126967
3180.0,1434522.7717706352
3190.0,1431910.5321035502
3200.0,1459049.4563999157
3210.0,1502093.7585957714
3220.0,1543531.979410525
3230.0,1568952.501083835
3240.0,1571317.6998623759
3250.0,1551684.2040798692
3260.0,1517008.4504521862
3270.0,1476716.3076273373
3280.0,1439738.7647151018
3290.0,1412919.167621334
3300.0,1400657.5826061615
3310.0,1404992.6691562545
3320.0,1425363.7767213096
3330.0,1457936.6060322553
3340.0,1495146.0226882847
3350.0,1526454.7410569743
3360.0,1540928.4283521096
3370.0,1531208.6637802003
3380.0,1497359.1913227045
3390.0,1448550.8371151278
3400.0,1401091.482025111
3410.0,1372829.8795853804
3420.0,1375825.4486654266
3430.0,1410433.0542005848
3440.0,1463819.701817641
3450.0,1514242.841779963
3460.0,1539810.0578235162
3470.0,1528115.160816214
3480.0,1482326.8868089675
