distance,integrated_intensity_Pa_mm
0.0,77.09142355881983
5.0,76.56952322479442
10.0,75.0221871038206
15.0,72.50426613018321
20.0,69.10644784061066
25.0,64.95448089828582
30.0,60.20907372213236
35.0,55.06979814281063
40.0,49.80198931940928
45.0,44.8746780383592
50.0,41.17085186041114
55.0,38.45924446780974
60.0,36.50986350878711
65.0,35.549477676455226
70.0,35.27572133280126
75.0,35.43964211081211
80.0,35.84051858539223
85.0,36.23905688842677
90.0,36.7008154806949
95.0,37.17804427149474
100.0,37.69988886667572
105.0,38.68648762991476
110.0,39.88845203731698
115.0,41.35316495182611
120.0,43.17422602229641
125.0,45.436491646313605
130.0,48.22925982276378
135.0,51.819865152361025
140.0,55.96355782095202
145.0,60.31983915742474
150.0,64.53882464315443
155.0,68.35861764520057
160.0,71.57774906886027
165.0,74.03811364349673
170.0,75.62183772889834
175.0,76.25167370793831
180.0,75.89042460119757
185.0,74.53834853239029
190.0,72.22985514818923
195.0,69.03156032751612
200.0,65.0419255136703
205.0,60.391768861339955
210.0,55.2449790911185
215.0,49.79694205652588
220.0,44.275415518554645
225.0,39.014018771307974
230.0,35.03370819537467
235.0,32.35644225220385
240.0,30.73905794170521
245.0,30.399901082672173
250.0,31.23679552692437
255.0,32.790993698902774
260.0,34.92714344321419
265.0,37.171713488160385
270.0,39.32549772728863
275.0,41.520470494952896
280.0,43.72979530335033
285.0,45.818925539124955
290.0,47.787302969169936
295.0,49.66010823812286
300.0,51.46071832443529
305.0,53.22388655391682
310.0,55.06199246733524
315.0,57.3510203628697
320.0,60.143442994907794
325.0,63.21024326261343
330.0,66.1887743506851
335.0,68.9033119788163
340.0,71.18921219803404
345.0,72.89698724053443
350.0,73.9033029323941
355.0,74.11735520225467
360.0,73.51865673851096
365.0,72.16965001398862
370.0,69.94321923975882
375.0,66.84799126420488
380.0,62.92541902720936
385.0,58.26256894072155
390.0,53.028955437625186
395.0,47.5559477707527
400.0,42.03458437565581
405.0,36.5567064933165
410.0,31.53796688448355
415.0,27.62871047307316
420.0,25.33649767666109
425.0,25.412951605380393
430.0,27.133785883708345
435.0,29.619320928016556
440.0,33.21776311461474
445.0,37.358190213687365
450.0,41.43740379598635
455.0,45.248397542203485
460.0,48.667992315407034
465.0,51.63143812173152
470.0,54.128682244657476
475.0,56.18884805409304
480.0,57.86724871997627
485.0,59.240360799472285
490.0,60.420641304061675
495.0,61.617932021578824
500.0,63.09594470270525
