distance,integrated_intensity_Pa_mm
0.0,130.58261757691525
10.0,126.79980889181981
20.0,116.14397964640872
30.0,100.4857077604403
40.0,82.8775414660586
50.0,69.65492591475555
60.0,63.37970190068458
70.0,64.04619152280529
80.0,67.2507952461111
90.0,68.60413270486511
100.0,67.65872191224348
110.0,68.35379973520801
120.0,72.5878075750527
130.0,80.77549348191798
140.0,92.40879389646761
150.0,106.36878209404549
160.0,117.95189364522946
170.0,124.58881235122422
180.0,124.9358280650168
190.0,118.98924057334416
200.0,107.77307514250587
210.0,94.0458555182165
220.0,81.19996115209801
230.0,70.38351437501912
240.0,64.70429910951832
250.0,64.28458583252349
260.0,65.93534130692603
270.0,69.24714087615556
280.0,75.13259044947354
290.0,81.42406825343328
300.0,86.92981509720428
310.0,91.688618505832
320.0,96.33737502990294
330.0,102.3839792678774
340.0,109.2062435599902
350.0,113.32137298501053
360.0,113.17559857009269
370.0,108.64021636825693
380.0,101.31132584218948
390.0,92.11973186852885
400.0,81.74557990544128
410.0,72.53740466121764
420.0,67.99917714878768
430.0,68.98032063615736
440.0,75.14163219602156
450.0,84.45872888677172
460.0,91.98876087974314
470.0,95.73107073312097
480.0,95.62675366232509
490.0,92.75547711849713
500.0,89.07453267096277
510.0,88.31082461117168
520.0,93.22765861770233
530.0,98.93297612340473
540.0,102.78153828387997
550.0,103.94665886998581
560.0,100.83858788968486
570.0,94.03089836850637
580.0,84.84042137252396
590.0,76.78840614638273
600.0,72.95514820481321
610.0,76.48537419183023
620.0,84.68568100761686
630.0,92.86603515165152
640.0,97.62926050205209
650.0,97.41776873804966
660.0,92.4151270659241
670.0,84.08293398532598
680.0,75.34640367291126
690.0,72.2764567045015
700.0,78.40207061047627
710.0,87.75893781789749
720.0,95.13612078838699
730.0,98.54260731375314
740.0,97.64211455686504
750.0,92.98108860963988
760.0,86.31300363567135
770.0,81.10379648220537
780.0,82.11237833818777
790.0,88.76912272434961
800.0,95.00524194642486
810.0,99.2187040883853
820.0,99.28128116813822
830.0,94.49556846322574
840.0,85.76317757612777
850.0,75.96075305080844
860.0,69.13283045961725
870.0,70.80580424224075
880.0,79.19849332825996
890.0,88.12232874939258
900.0,94.58027325039656
910.0,97.42308620503034
920.0,96.58988980426739
930.0,92.67436070088712
940.0,87.56371164034712
950.0,85.96355785803723
960.0,88.91842498519088
970.0,92.22427940580663
980.0,94.78896701029541
990.0,95.97729567033278
1000.0,94.79158780238058
