distance,integrated_intensity_Pa_mm
0.0,300.99288264274855
10.0,280.759723478388
20.0,222.80635006576102
30.0,135.03493857401563
40.0,30.221530536274003
50.0,82.14165766629887
60.0,180.32026961020225
70.0,254.69159372750957
80.0,294.9170865917566
90.0,295.6522507505268
100.0,256.979833203565
110.0,184.47131880458682
120.0,89.18330571694807
130.0,45.46953586719232
140.0,135.60886029121858
150.0,219.7041045948689
160.0,277.227136248423
170.0,298.4282932698449
180.0,280.43043749422975
190.0,226.0573390963546
200.0,143.78233047950982
210.0,52.516827995394905
220.0,100.87357442665386
230.0,181.9178089035179
240.0,249.7499471830104
250.0,289.1805337142621
260.0,291.9015841830442
270.0,257.4790674263859
280.0,191.37656045947628
290.0,105.87607879490092
300.0,79.28812132824882
310.0,149.8363995458836
320.0,217.506939853676
330.0,269.14665762451
340.0,291.05605169758013
350.0,277.24718641857544
360.0,229.7103939313662
370.0,156.6920725937261
380.0,81.89953680522538
390.0,125.41272198122863
400.0,188.47432572043158
410.0,241.6799024310496
420.0,278.5320569439019
430.0,284.6326273219008
440.0,257.04438876839447
450.0,200.18385052089394
460.0,126.30029254200541
470.0,111.45693969696487
480.0,164.60835218168685
490.0,214.9854904060872
500.0,256.29796571893894
510.0,279.73150918836916
520.0,272.2645626772993
530.0,233.91237549474567
540.0,171.78292380978172
550.0,114.30073582307824
560.0,147.79194145256048
570.0,192.6977181432415
580.0,229.9675289759441
590.0,263.62530727961433
600.0,274.97450596485237
610.0,256.25574597591515
620.0,210.09680875894765
630.0,147.8571626720939
640.0,139.94368708245798
650.0,176.0123306268846
660.0,208.46825893441468
670.0,238.94067132425704
680.0,265.5903995910015
690.0,266.3149964731594
700.0,238.45089554006972
710.0,187.45936251216895
720.0,144.51398387914327
730.0,166.09360289096122
740.0,192.6518004700181
750.0,213.69466212456376
760.0,245.51966153869535
770.0,263.94413940439534
780.0,255.2775015458767
790.0,220.10991138073797
800.0,168.69275388343289
810.0,164.33511311573255
820.0,183.10253639181238
830.0,197.2799888421502
840.0,217.8462200215376
850.0,249.81062392019723
860.0,259.86563767678433
870.0,242.73503041188224
880.0,202.22319713454647
890.0,170.6582223269162
900.0,180.6406071218558
910.0,188.4767730049349
920.0,192.8585504465368
930.0,225.54716476876666
940.0,252.30815223840796
950.0,253.8667890076792
960.0,229.06353789930606
970.0,187.43156523108206
980.0,184.46110560674887
990.0,187.50734444380416
1000.0,182.65352912955643
