separation_um,separation_mm,Iint_W_per_m,Iavg_W_per_m2,integrated_prms_Pa_mm
0.0,0.0,1.9423133466870477e-05,0.0029209017652781634,116.6087380699433
10.0,0.01,1.6901327402993374e-05,0.0025416659537016374,108.6592837083475
20.0,0.02,1.064879406066849e-05,0.0016013935868248869,85.89813215698362
30.0,0.03,3.918904022615759e-06,0.0005893350677499311,51.44390483961982
40.0,0.04,2.0831575825071155e-07,3.132707022003496e-05,10.155385349631613
50.0,0.05,1.4355999283998523e-06,0.00021588928337688883,33.05676221931484
60.0,0.06,6.9468899677630344e-06,0.0010446915377810867,71.30732918312341
70.0,0.07,1.3865132559476488e-05,0.0020850750079984856,99.89741991239399
80.0,0.08,1.8595851840180968e-05,0.0027964929839710082,114.88280490617332
90.0,0.09,1.8699190921275383e-05,0.002812033386085103,114.2278779712935
100.0,0.1,1.415073811936486e-05,0.002128025121350387,98.04598651301234
110.0,0.11,7.338152316428935e-06,0.0011035305962087303,68.59872113943156
120.0,0.12,1.8040713884153055e-06,0.00027130098817979936,30.132146399313267
130.0,0.13,3.9904259595589865e-07,6.000907242576679e-05,15.805038486736759
140.0,0.14,3.8099989175067986e-06,0.0005729576323426554,55.266593076087545
150.0,0.15,1.0225529269205607e-05,0.0015377419170944195,88.35216116079405
160.0,0.16,1.6300235171457615e-05,0.0024512721270215864,109.79439680324207
170.0,0.17,1.8903311466735008e-05,0.0028427295691999185,116.39340560869051
180.0,0.18,1.673500144310069e-05,0.002516653419514464,107.25303892910519
190.0,0.19,1.097460282452998e-05,0.0016503895634591068,83.6849336401439
200.0,0.2,4.637364615844415e-06,0.000697379056564806,49.11931325293747
210.0,0.21,9.916894420714394e-07,0.00014913285989075269,10.42581767737171
220.0,0.22,1.869719320075532e-06,0.0002811732963632488,39.0470544385062
230.0,0.23,6.746373256526211e-06,0.0010145373087109728,74.96501860840242
240.0,0.24,1.3049652732823172e-05,0.0019624410123415433,101.63166336659285
250.0,0.25,1.7520290699786168e-05,0.002634747278057885,115.119619288976
260.0,0.26,1.7900067385300476e-05,0.0026918590923293733,113.20436924290384
270.0,0.27,1.4072389808820356e-05,0.0021162428968722236,96.16490071009068
280.0,0.28,8.078941581566717e-06,0.0012149324292822015,66.49828401174855
290.0,0.29,3.0275348708356097e-06,0.00045528863629282185,29.09437069008389
300.0,0.3,1.476827660397139e-06,0.00022208921787122212,23.85301056790203
310.0,0.31,4.139263172187658e-06,0.0006224732547514056,60.517983887302734
320.0,0.32,9.56006705132007e-06,0.0014376679629992581,91.1774814549479
330.0,0.33,1.491283254168079e-05,0.0022426308798521285,110.5566533755029
340.0,0.34,1.7475992758141947e-05,0.0026280856373824767,115.74252147988506
350.0,0.35000000000000003,1.6017198114323713e-05,0.0024087082718520962,105.63894274109215
360.0,0.36,1.1380927879409632e-05,0.001711493791162586,81.71107099520259
370.0,0.37,6.001902725728844e-06,0.0009025818772502031,47.717037446020406
380.0,0.38,2.623428389108628e-06,0.00039451804344023243,14.307865138983795
390.0,0.39,2.896815141473956e-06,0.0004356306604620736,45.776077169330975
400.0,0.4,6.577541998605671e-06,0.000989148021233987,79.08175711769346
410.0,0.41000000000000003,1.1707359724913768e-05,0.0017605834684488158,103.21420589987392
420.0,0.42,1.5657872231090783e-05,0.002354671902878192,114.87728269139802
430.0,0.43,1.6478389301442103e-05,0.0024780634124571144,111.83881797807891
440.0,0.44,1.3856182705513451e-05,0.0020837291054805317,94.28258802949348
450.0,0.45,9.218108768904994e-06,0.0013862433793984013,64.8890432228789
460.0,0.46,4.953456242116064e-06,0.0007449137445563862,29.28302931596703
470.0,0.47000000000000003,3.1816387501911367e-06,0.0004784631819454857,31.93739839924081
480.0,0.48,4.701008504839117e-06,0.0007069499915548206,65.91322915207161
490.0,0.49,8.638840788321508e-06,0.0012991315408301602,93.89522587867457
500.0,0.5,1.2949823685538642e-05,0.0019474284583199805,110.83039822997115
510.0,0.51,1.5479602628719816e-05,0.0023278632524022557,114.64131802828079
520.0,0.52,1.5039726359072905e-05,0.0022617135050040232,103.84153721734148
530.0,0.53,1.1958672665977274e-05,0.0017983765678187867,79.95345299521074
540.0,0.54,7.857920776248084e-06,0.0011816947407537494,47.03869375361478
550.0,0.55,4.797957320369683e-06,0.00072152940876924,21.768504441611732
560.0,0.56,4.244395943802424e-06,0.0006382833967515076,52.45747233734089
570.0,0.5700000000000001,6.372167363593198e-06,0.0009582632448422433,82.95795673085506
580.0,0.58,1.0034526617146794e-05,0.0015090184372026196,104.39623677428568
590.0,0.59,1.3381146384916038e-05,0.002012291897381699,114.09561403965182
600.0,0.6,1.4792243902571923e-05,0.002224496443951435,110.14067984737002
610.0,0.61,1.3657783735443631e-05,0.002053893347882781,92.41120964094722
620.0,0.62,1.0629938254500453e-05,0.0015985580012271303,63.716938383554584
630.0,0.63,7.2517378065293495e-06,0.001090535355510731,30.527547844735135
640.0,0.64,5.171923962522969e-06,0.0007777674934780652,39.74895985884844
650.0,0.65,5.34500049348715e-06,0.0008037951962523772,71.01015233022041
660.0,0.66,7.602023439022094e-06,0.0011432122278621875,96.0949330257457
670.0,0.67,1.0779952811853745e-05,0.0016211175839091956,110.50780140831706
